date,home_team,away_team,home_score,away_score,home_win
2025-01-01,Los Angeles,New Jersey,3,0,1
2025-01-02,Florida,Carolina,1,3,0
2025-01-02,New York,Boston,2,1,1
2025-01-02,Washington,Minnesota,3,4,0
2025-01-02,Columbus,Detroit,4,5,0
2025-01-02,New York,Toronto,1,2,0
2025-01-02,Dallas,Ottawa,4,2,1
2025-01-02,Winnipeg,Anaheim,3,4,0
2025-01-02,Colorado,Buffalo,6,5,1
2025-01-02,Calgary,Utah,3,5,0
2025-01-02,Vegas,Philadelphia,5,2,1
2025-01-02,Seattle,Vancouver,3,4,0
2025-01-02,San Jose,Tampa Bay,2,1,1
2025-01-03,Florida,Pittsburgh,3,2,1
2025-01-03,Chicago,Montréal,4,2,1
2025-01-03,St. Louis,Ottawa,4,0,1
2025-01-03,Edmonton,Anaheim,3,2,1
2025-01-03,Vancouver,Nashville,0,3,0
2025-01-04,Washington,New York,7,4,1
2025-01-04,San Jose,New Jersey,3,2,1
2025-01-04,Winnipeg,Detroit,2,4,0
2025-01-04,Toronto,Boston,6,4,1
2025-01-04,Carolina,Minnesota,0,4,0
2025-01-04,Columbus,St. Louis,6,4,1
2025-01-04,Colorado,Montréal,1,2,0
2025-01-04,Dallas,Utah,3,2,1
2025-01-04,Los Angeles,Tampa Bay,2,1,1
2025-01-04,Calgary,Nashville,1,4,0
2025-01-04,Vegas,Buffalo,3,1,1
2025-01-04,Seattle,Edmonton,2,4,0
2025-01-05,Chicago,New York,2,6,0
2025-01-05,Boston,New York,4,5,0
2025-01-05,Carolina,Pittsburgh,4,3,1
2025-01-05,Toronto,Philadelphia,3,2,1
2025-01-05,Anaheim,Tampa Bay,4,1,1
2025-01-06,Buffalo,Washington,4,3,1
2025-01-06,Montréal,Vancouver,5,4,1
2025-01-06,Colorado,Florida,3,1,1
2025-01-06,Seattle,New Jersey,2,3,0
2025-01-07,Tampa Bay,Carolina,3,2,1
2025-01-07,Boston,Edmonton,0,4,0
2025-01-07,Detroit,Ottawa,3,2,1
2025-01-07,New York,Dallas,4,5,0
2025-01-07,Pittsburgh,Columbus,3,4,0
2025-01-07,Philadelphia,Toronto,2,3,0
2025-01-07,Minnesota,St. Louis,6,4,1
2025-01-07,Winnipeg,Nashville,5,2,1
2025-01-07,Anaheim,Calgary,2,3,0
2025-01-07,San Jose,Vegas,2,4,0
2025-01-08,Washington,Vancouver,2,1,1
2025-01-08,Chicago,Colorado,3,1,1
2025-01-08,Utah,Florida,1,4,0
2025-01-09,Ottawa,Buffalo,0,4,0
2025-01-09,Tampa Bay,Boston,4,1,1
2025-01-09,New York,New Jersey,3,2,1
2025-01-09,Philadelphia,Dallas,1,4,0
2025-01-09,Pittsburgh,Edmonton,5,3,1
2025-01-09,Columbus,Seattle,6,2,1
2025-01-09,Carolina,Toronto,6,3,1
2025-01-09,St. Louis,Anaheim,6,2,1
2025-01-09,Minnesota,Colorado,1,6,0
2025-01-09,Vegas,New York,0,4,0
2025-01-10,Detroit,Chicago,5,3,1
2025-01-10,Washington,Montréal,2,3,0
2025-01-10,Carolina,Vancouver,2,0,1
2025-01-10,Winnipeg,Los Angeles,1,2,0
2025-01-10,Utah,San Jose,2,1,1
2025-01-11,Florida,Boston,3,4,0
2025-01-11,Buffalo,Seattle,2,6,0
2025-01-11,Pittsburgh,Ottawa,0,5,0
2025-01-11,Toronto,Vancouver,0,3,0
2025-01-11,Montréal,Dallas,1,2,0
2025-01-11,New Jersey,Tampa Bay,3,2,1
2025-01-11,Philadelphia,Anaheim,6,0,1
2025-01-11,Chicago,Edmonton,3,4,0
2025-01-11,St. Louis,Columbus,1,2,0
2025-01-11,Winnipeg,Colorado,3,0,1
2025-01-11,Nashville,Washington,1,4,0
2025-01-11,Utah,New York,1,2,0
2025-01-11,Calgary,Los Angeles,2,1,1
2025-01-11,Vegas,New York,1,2,0
2025-01-11,San Jose,Minnesota,1,3,0
2025-01-12,Detroit,Seattle,6,2,1
2025-01-12,Ottawa,Dallas,3,2,1
2025-01-12,Pittsburgh,Tampa Bay,2,5,0
2025-01-12,Carolina,Anaheim,2,3,0
2025-01-12,Vegas,Minnesota,4,1,1
2025-01-13,Philadelphia,Florida,4,3,1
2025-01-13,Chicago,Calgary,2,5,0
2025-01-13,Edmonton,Los Angeles,1,0,1
2025-01-14,Boston,Tampa Bay,6,2,1
2025-01-14,Toronto,Dallas,1,4,0
2025-01-14,Detroit,San Jose,3,6,0
2025-01-14,Pittsburgh,Seattle,2,4,0
2025-01-14,Washington,Anaheim,3,0,1
2025-01-14,Columbus,Philadelphia,3,2,1
2025-01-14,New Jersey,Florida,1,2,0
2025-01-14,New York,Ottawa,0,2,0
2025-01-14,St. Louis,Calgary,2,1,1
2025-01-14,Nashville,Vegas,5,3,1
2025-01-14,Winnipeg,Vancouver,6,1,1
2025-01-14,Colorado,New York,3,2,1
2025-01-14,Utah,Montréal,3,5,0
2025-01-15,Buffalo,Carolina,4,2,1
2025-01-15,Minnesota,Edmonton,3,5,0
2025-01-16,Toronto,New Jersey,4,3,1
2025-01-16,Ottawa,Washington,0,1,0
2025-01-16,Tampa Bay,Anaheim,4,3,1
2025-01-16,Florida,Detroit,2,5,0
2025-01-16,Columbus,San Jose,4,1,1
2025-01-16,New York,Philadelphia,3,5,0
2025-01-16,St. Louis,Calgary,4,1,1
2025-01-16,Nashville,Chicago,3,2,1
2025-01-16,Dallas,Montréal,1,3,0
2025-01-16,Winnipeg,Seattle,2,1,1
2025-01-16,Utah,New York,3,5,0
2025-01-16,Colorado,Edmonton,3,4,0
2025-01-16,Vancouver,Los Angeles,1,5,0
2025-01-17,Buffalo,Pittsburgh,2,5,0
2025-01-17,Carolina,Vegas,3,2,1
2025-01-18,New Jersey,Philadelphia,1,3,0
2025-01-18,Ottawa,Boston,6,5,1
2025-01-18,Colorado,Dallas,6,3,1
2025-01-18,Florida,Anaheim,3,0,1
2025-01-18,Montréal,Toronto,3,7,0
2025-01-18,Tampa Bay,Detroit,5,1,1
2025-01-18,New York,Columbus,1,0,1
2025-01-18,Washington,Pittsburgh,4,1,1
2025-01-18,Winnipeg,Calgary,1,3,0
2025-01-18,New York,San Jose,4,1,1
2025-01-18,Chicago,Vegas,5,3,1
2025-01-18,Nashville,Minnesota,6,2,1
2025-01-18,Utah,St. Louis,4,2,1
2025-01-18,Vancouver,Edmonton,3,2,1
2025-01-18,Seattle,Los Angeles,4,2,1
2025-01-19,New Jersey,Ottawa,1,2,0
2025-01-19,Montréal,New York,5,4,1
2025-01-19,Dallas,Detroit,4,1,1
2025-01-20,Boston,San Jose,6,3,1
2025-01-20,Colorado,Minnesota,1,3,0
2025-01-20,Seattle,Buffalo,6,4,1
2025-01-20,Vegas,St. Louis,4,5,0
2025-01-20,Toronto,Tampa Bay,5,3,1
2025-01-20,New York,Columbus,3,1,1
2025-01-20,Chicago,Carolina,3,4,0
2025-01-20,Utah,Winnipeg,5,2,1
2025-01-20,Los Angeles,Pittsburgh,1,5,0
2025-01-21,Montréal,Tampa Bay,3,2,1
2025-01-21,New York,Ottawa,5,0,1
2025-01-21,Philadelphia,Detroit,2,1,1
