date,home_team,away_team,home_score,away_score,home_win
2024-10-04,Buffalo,New Jersey,1,4,0
2024-10-05,New Jersey,Buffalo,3,1,1
2024-10-08,Seattle,St. Louis,2,3,0
2024-10-08,Florida,Boston,6,4,1
2024-10-08,Utah,Chicago,5,2,1
2024-10-09,Montréal,Toronto,1,0,1
2024-10-09,Pittsburgh,New York,0,6,0
2024-10-09,Edmonton,Winnipeg,0,6,0
2024-10-09,Vancouver,Calgary,5,6,0
2024-10-09,Vegas,Colorado,8,4,1
2024-10-10,Boston,Montréal,6,4,1
2024-10-10,Buffalo,Los Angeles,1,3,0
2024-10-10,Ottawa,Florida,3,1,1
2024-10-10,New Jersey,Toronto,2,4,0
2024-10-10,New York,Utah,4,5,0
2024-10-10,Detroit,Pittsburgh,3,6,0
2024-10-10,Nashville,Dallas,3,4,0
2024-10-10,Minnesota,Columbus,3,2,1
2024-10-10,San Jose,St. Louis,4,5,0
2024-10-11,Carolina,Tampa Bay,1,4,0
2024-10-11,Winnipeg,Chicago,2,1,1
2024-10-11,Vancouver,Philadelphia,2,3,0
2024-10-11,Vegas,St. Louis,4,3,1
2024-10-12,Boston,Los Angeles,2,1,1
2024-10-12,Buffalo,Florida,5,2,1
2024-10-12,Toronto,Pittsburgh,4,2,1
2024-10-12,Montréal,Ottawa,4,1,1
2024-10-12,Detroit,Nashville,3,0,1
2024-10-12,New York,Utah,5,6,0
2024-10-12,Washington,New Jersey,3,5,0
2024-10-12,Dallas,New York,3,0,1
2024-10-12,Minnesota,Seattle,4,5,0
2024-10-12,Colorado,Columbus,4,6,0
2024-10-12,Calgary,Philadelphia,6,3,1
2024-10-12,Edmonton,Chicago,2,5,0
2024-10-12,San Jose,Anaheim,0,2,0
2024-10-13,Winnipeg,Minnesota,2,1,1
2024-10-13,Dallas,Seattle,2,0,1
2024-10-13,Edmonton,Calgary,1,4,0
2024-10-13,Vegas,Anaheim,3,1,1
2024-10-14,Boston,Florida,3,4,0
2024-10-14,Ottawa,Los Angeles,8,7,1
2024-10-14,New Jersey,Utah,3,0,1
2024-10-14,New York,Detroit,4,1,1
2024-10-14,Montréal,Pittsburgh,3,6,0
2024-10-14,Colorado,New York,2,6,0
2024-10-15,Tampa Bay,Vancouver,4,1,1
2024-10-15,Washington,Vegas,4,2,1
2024-10-15,Carolina,New Jersey,4,2,1
2024-10-15,Columbus,Florida,3,4,0
2024-10-15,St. Louis,Minnesota,1,4,0
2024-10-15,Nashville,Seattle,3,7,0
2024-10-15,Dallas,San Jose,3,2,1
2024-10-15,Calgary,Chicago,3,1,1
2024-10-15,Edmonton,Philadelphia,4,3,1
2024-10-16,Pittsburgh,Buffalo,6,5,1
2024-10-16,Toronto,Los Angeles,6,2,1
2024-10-16,Colorado,Boston,3,5,0
2024-10-16,Anaheim,Utah,5,4,1
2024-10-17,Montréal,Los Angeles,1,4,0
2024-10-17,Ottawa,New Jersey,1,3,0
2024-10-17,Tampa Bay,Vegas,4,3,1
2024-10-17,Florida,Vancouver,2,3,0
2024-10-17,Washington,Dallas,3,2,1
2024-10-17,Columbus,Buffalo,6,4,1
2024-10-17,Detroit,New York,2,5,0
2024-10-17,St. Louis,New York,1,0,1
2024-10-17,Nashville,Edmonton,2,4,0
2024-10-17,Chicago,San Jose,4,2,1
2024-10-17,Seattle,Philadelphia,6,4,1
2024-10-18,Pittsburgh,Carolina,1,4,0
2024-10-18,Winnipeg,San Jose,8,3,1
2024-10-18,Colorado,Anaheim,4,3,1
2024-10-19,Ottawa,Tampa Bay,5,4,1
2024-10-19,Nashville,Detroit,2,5,0
2024-10-19,Dallas,Edmonton,4,1,1
2024-10-19,Florida,Vegas,4,3,1
2024-10-19,Toronto,New York,1,4,0
2024-10-19,New Jersey,Washington,5,6,0
2024-10-19,New York,Montréal,4,3,1
2024-10-19,Philadelphia,Vancouver,0,3,0
2024-10-19,Columbus,Minnesota,1,3,0
2024-10-19,St. Louis,Carolina,4,3,1
2024-10-19,Chicago,Buffalo,2,4,0
2024-10-19,Utah,Boston,2,1,1
2024-10-19,Seattle,Calgary,2,1,1
2024-10-20,Winnipeg,Pittsburgh,6,3,1
2024-10-20,San Jose,Colorado,1,4,0
2024-10-20,Anaheim,Los Angeles,1,4,0
2024-10-21,Toronto,Tampa Bay,5,2,1
