assists,gamesPlayed,gamesStarted,goalieFullName,goals,goalsAgainst,goalsAgainstAverage,lastName,losses,otLosses,penaltyMinutes,playerId,points,savePct,saves,seasonId,shootsCatches,shotsAgainst,shutouts,teamAbbrevs,ties,timeOnIce,wins
0,9,8,Pyotr Kochetkov,0,19,2.32581,Kochetkov,2,0,0,8481611,0,0.89947,170,20252026,L,189,1,CAR,,29409,6
0,10,8,Petr Mrazek,0,35,4.07068,Mrazek,5,0,0,8475852,0,0.85829,212,20252026,L,247,0,ANA,,30953,3
0,30,28,Daniil Tarasov,0,92,3.19876,Tarasov,15,3,0,8480193,0,0.89214,761,20252026,L,853,0,FLA,,103540,10
2,51,50,Sergei Bobrovsky,0,150,3.05038,Bobrovsky,22,1,9,8475683,2,0.87755,1075,20252026,L,1225,4,FLA,,177027,27
0,29,27,David Rittich,0,74,2.78393,Rittich,9,3,0,8479496,0,0.89413,625,20252026,L,699,2,NYI,,95692,14
1,33,31,Jesper Wallstedt,0,83,2.64957,Wallstedt,8,6,2,8482661,1,0.91467,879,20252026,L,961,4,MIN,,112773,17
0,2,2,Dylan Garand,0,3,1.44,Garand,0,1,0,8482193,0,0.95384,62,20252026,L,65,0,NYR,,7500,1
1,31,24,Cam Talbot,0,84,3.08766,Talbot,9,5,0,8475660,1,0.888,666,20252026,L,750,0,DET,,97938,12
0,2,1,Mads Sogaard,0,6,4.65016,Sogaard,0,0,0,8481544,0,0.83333,30,20252026,L,36,0,OTT,,4645,1
1,34,29,Akira Schmid,0,85,2.59438,Schmid,10,6,0,8481033,1,0.89254,706,20252026,L,791,2,VGK,,117947,16
2,55,55,Andrei Vasilevskiy,0,126,2.32465,Vasilevskiy,14,4,11,8476883,2,0.91211,1287,20252026,L,1411,2,TBL,,195126,37
2,48,47,Filip Gustavsson,0,123,2.5887,Gustavsson,13,6,0,8479406,2,0.90868,1214,20252026,L,1336,4,MIN,,171051,28
0,30,27,Joonas Korpisalo,0,88,3.19403,Korpisalo,9,6,2,8476914,0,0.89215,728,20252026,L,816,1,BOS,,99185,13
0,25,24,Anthony Stolarz,0,76,3.28842,Stolarz,10,3,2,8476932,0,0.89235,630,20252026,L,706,0,TOR,,83201,10
0,1,0,Brandon Halverson,0,0,0.0,Halverson,0,0,0,8477990,0,,0,20252026,L,0,0,TBL,,6,0
0,25,23,Arvid Soderblom,0,88,3.74162,Soderblom,12,3,4,8482821,0,0.88203,658,20252026,L,746,1,CHI,,84669,8
0,4,2,Aleksei Kolosov,0,8,3.99944,Kolosov,2,0,0,8482783,0,0.82978,39,20252026,L,47,0,PHI,,7201,0
0,43,40,Joel Hofer,0,105,2.57688,Hofer,13,5,4,8480981,0,0.91049,1058,20252026,L,1162,6,STL,,146689,21
1,36,34,Alex Lyon,0,92,2.77106,Lyon,10,4,4,8479312,1,0.90704,888,20252026,L,979,3,BUF,,119521,20
3,46,45,Joey Daccord,0,133,3.03627,Daccord,20,6,4,8478916,3,0.89701,1141,20252026,L,1272,2,SEA,,157693,19
0,19,18,Ville Husso,0,58,3.2053,Husso,8,2,2,8478024,0,0.88693,455,20252026,L,513,0,ANA,,65142,9
1,30,25,Devin Cooley,0,74,2.67598,Cooley,9,6,2,8482445,1,0.91051,753,20252026,L,827,0,CGY,,99552,10
0,25,23,Jonas Johansson,0,78,3.28763,Johansson,10,2,0,8477992,0,0.88358,592,20252026,L,670,0,TBL,,85411,11
0,32,27,Anton Forsberg,0,81,2.70976,Forsberg,11,5,4,8476341,0,0.90566,768,20252026,L,848,2,LAK,,107611,13
0,1,0,Artur Akhtyamov,0,0,0.0,Akhtyamov,0,0,0,8482515,0,1.0,5,20252026,L,5,0,TOR,,632,0
0,36,33,Mackenzie Blackwood,0,85,2.58256,Blackwood,10,1,0,8478406,0,0.89928,759,20252026,L,844,3,COL,,118487,21
1,53,52,Lukas Dostal,0,161,3.13004,Dostal,19,3,6,8480843,1,0.88881,1287,20252026,L,1448,0,ANA,,185173,29
1,55,55,Logan Thompson,0,137,2.51708,Thompson,21,6,0,8480313,1,0.91045,1393,20252026,R,1530,2,WSH,,195941,28
2,37,37,Arturs Silovs,0,108,2.98624,Silovs,10,8,4,8481668,2,0.89081,873,20252026,L,980,2,PIT,,130197,19
0,6,4,Spencer Martin,0,20,4.12867,Martin,3,0,0,8477484,0,0.86394,127,20252026,L,147,0,NYR,,17439,1
0,8,8,Carl Lindbom,0,24,2.99583,Lindbom,4,2,0,8482761,0,0.87301,165,20252026,L,189,0,VGK,,28840,2
0,16,13,Calvin Pickard,0,53,3.67998,Pickard,6,2,0,8475717,0,0.87073,357,20252026,L,410,0,EDM,,51848,5
0,54,54,Connor Hellebuyck,0,149,2.75802,Hellebuyck,21,11,4,8476945,0,0.89843,1318,20252026,L,1467,0,WPG,,194487,22
