date,home_team,away_team,home_team_full,away_team_full,home_odds_dec,draw_odds_dec,away_odds_dec,home_implied,away_implied
2025-10-09,PIT,NYI,Pittsburgh Penguins,NY Islanders,2.6,4.2,2.1,35.0,43.3
2025-10-09,DET,MTL,Detroit Red Wings,Montreal Canadiens,2.05,4.0,2.7,44.0,33.4
2025-10-09,BUF,NYR,Buffalo Sabres,NY Rangers,2.4,4.0,2.25,37.5,40.0
2025-10-09,FLA,PHI,Florida Panthers,Philadelphia Flyers,1.7,4.2,3.5,52.9,25.7
2025-10-09,TBL,OTT,Tampa Bay Lightning,Ottawa Senators,1.85,4.2,3.0,48.6,30.0
2025-10-11,WPG,LAK,Winnipeg Jets,Los Angeles Kings,2.05,4.0,2.7,44.0,33.4
2025-10-11,CGY,STL,Calgary Flames,St. Louis Blues,2.5,4.0,2.15,35.9,41.7
2025-10-12,NYR,WSH,NY Rangers,Washington Capitals,2.38,4.0,2.3,38.0,39.3
2025-10-12,BUF,COL,Buffalo Sabres,Colorado Avalanche,3.1,4.2,1.8,28.9,49.8
2025-10-12,NYI,WPG,NY Islanders,Winnipeg Jets,2.45,4.0,2.25,37.0,40.3
2025-10-12,OTT,NSH,Ottawa Senators,Nashville Predators,1.85,4.2,3.1,49.1,29.3
2025-10-12,BOS,TBL,Boston Bruins,Tampa Bay Lightning,3.0,4.2,1.85,30.0,48.6
2025-10-13,MIN,LAK,Minnesota Wild,Los Angeles Kings,2.38,4.0,2.3,38.0,39.3
2025-10-13,VAN,STL,Vancouver Canucks,St. Louis Blues,2.15,4.0,2.5,41.7,35.9
2025-10-13,CHI,UTA,Chicago Blackhawks,Utah Mammoth,2.9,4.2,1.85,30.7,48.1
2025-10-13,PHI,FLA,Philadelphia Flyers,Florida Panthers,2.8,4.0,2.0,32.3,45.2
2025-10-13,CBJ,NJD,Columbus Blue Jackets,New Jersey Devils,2.5,4.2,2.2,36.6,41.6
2025-10-14,SJS,CAR,San Jose Sharks,Carolina Hurricanes,4.2,4.2,1.57,21.4,57.2
2025-10-14,DAL,MIN,Dallas Stars,Minnesota Wild,1.75,4.2,3.4,51.8,26.6
2025-10-14,CGY,VGK,Calgary Flames,Vegas Golden Knights,3.1,4.0,1.85,29.0,48.6
2025-10-14,ANA,PIT,Anaheim Ducks,Pittsburgh Penguins,2.0,4.2,2.7,45.1,33.4
2025-10-14,NYR,EDM,NY Rangers,Edmonton Oilers,2.7,4.0,2.05,33.4,44.0
2025-10-14,TOR,NSH,Toronto Maple Leafs,Nashville Predators,1.8,4.2,3.2,50.2,28.3
2025-10-14,MTL,SEA,Montreal Canadiens,Seattle Kraken,1.95,4.0,2.88,46.2,31.3
2025-10-14,WSH,TBL,Washington Capitals,Tampa Bay Lightning,2.3,4.0,2.4,39.5,37.8
2025-10-15,BUF,OTT,Buffalo Sabres,Ottawa Senators,2.45,4.0,2.25,37.0,40.3
2025-10-15,DET,FLA,Detroit Red Wings,Florida Panthers,2.8,4.0,1.95,31.9,45.8
2025-10-15,STL,CHI,St. Louis Blues,Chicago Blackhawks,1.6,4.2,4.2,56.8,21.6
2025-10-15,UTA,CGY,Utah Mammoth,Calgary Flames,1.62,4.5,3.8,56.0,23.9
2025-10-16,NYI,EDM,NY Islanders,Edmonton Oilers,3.0,4.2,1.85,30.0,48.6
2025-10-16,ANA,CAR,Anaheim Ducks,Carolina Hurricanes,3.2,4.2,1.75,27.9,50.9
2025-10-16,LAK,PIT,Los Angeles Kings,Pittsburgh Penguins,1.7,4.4,3.4,53.0,26.5
2025-10-16,DAL,VAN,Dallas Stars,Vancouver Canucks,1.8,4.2,3.1,49.8,28.9
2025-10-16,MTL,NSH,Montreal Canadiens,Nashville Predators,1.95,4.0,2.8,45.8,31.9
2025-10-16,VGK,BOS,Vegas Golden Knights,Boston Bruins,1.62,4.4,3.8,55.7,23.8
2025-10-16,PHI,WPG,Philadelphia Flyers,Winnipeg Jets,2.7,4.0,2.05,33.4,44.0
2025-10-16,OTT,SEA,Ottawa Senators,Seattle Kraken,1.95,4.2,2.8,46.3,32.2
2025-10-16,CBJ,COL,Columbus Blue Jackets,Colorado Avalanche,2.9,4.2,1.85,30.7,48.1
2025-10-16,TOR,NYR,Toronto Maple Leafs,NY Rangers,2.05,4.0,2.7,44.0,33.4
2025-10-16,NJD,FLA,New Jersey Devils,Florida Panthers,1.91,4.2,2.9,47.3,31.2
2025-10-17,NJD,EDM,New Jersey Devils,Edmonton Oilers,2.38,4.0,2.3,38.0,39.3
2025-10-17,OTT,NYI,Ottawa Senators,NY Islanders,2.0,4.0,2.8,45.2,32.3
2025-10-17,BUF,FLA,Buffalo Sabres,Florida Panthers,2.8,4.0,2.0,32.3,45.2
2025-10-17,UTA,SJS,Utah Mammoth,San Jose Sharks,1.6,4.6,3.9,56.9,23.3
2025-10-17,CHI,VAN,Chicago Blackhawks,Vancouver Canucks,2.6,4.2,2.1,35.0,43.3
2025-10-17,DET,TBL,Detroit Red Wings,Tampa Bay Lightning,2.7,4.0,2.05,33.4,44.0
2025-10-17,WSH,MIN,Washington Capitals,Minnesota Wild,2.15,4.0,2.5,41.7,35.9
2025-10-18,WSH,VAN,Washington Capitals,Vancouver Canucks,1.85,4.2,3.0,48.6,30.0
2025-10-18,SJS,PIT,San Jose Sharks,Pittsburgh Penguins,2.8,4.2,1.95,32.2,46.3
2025-10-18,DET,EDM,Detroit Red Wings,Edmonton Oilers,2.62,4.0,2.05,34.1,43.6
2025-10-18,COL,BOS,Colorado Avalanche,Boston Bruins,1.6,4.2,4.0,56.1,22.5
